Cliente;Grupo_de_Cliente;Country;Proyecto;Producto;SearchName;ProductLine;BusinessUnit;ProductGroupId;Grupo_de_Producto;LINENUM;SALESQTY;SALESPRICE;SALESUNIT;Unidad_Monetaria;Monto;DATE;Sede_de_la_empresa_a_la_que_se_le_pidio_el_producto
C010439;Cliente;NULL;NULL;14231;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;2;1;15;pcs;USD;15;20/10/2021__17:13:28;Sede1
C3003;Cliente;USA;NULL;16319;BATTERY;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;150;pcs;USD;150;1/07/2022__13:07:25;Sede1
C9718;Cliente;PRI;PJ-21-2104-03;16319;BATTERY;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;2;-1;0.01;pcs;USD;-0.01;19/05/2022__18:15:42;Sede1
C4764;Cliente;USA;NULL;16319;BATTERY;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;150;pcs;USD;150;21/02/2022__18:31:47;Sede1
C011052;Cliente;USA;NULL;16319;BATTERY;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;150;pcs;USD;150;30/12/2021__19:39:53;Sede1
C010823;Cliente;USA;PJ-21-3729-02;16319;BATTERY;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;150;pcs;USD;150;6/12/2021__15:24:36;Sede1
C3323;Cliente;USA;NULL;16319;BATTERY;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;135;pcs;USD;135;22/03/2023__15:38:25;Sede1
C010453;Cliente;USA;NULL;13537;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;25;pcs;USD;25;17/01/2023__16:33:10;Sede1
C015227;Cliente;USA;NULL;13537;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;2;25;pcs;USD;50;5/12/2022__14:29:43;Sede1
C011806;Cliente;USA;NULL;13537;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;3;25;pcs;USD;75;4/10/2022__19:16:34;Sede1
C010011;Cliente;USA;NULL;13537;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;4;2;20;pcs;USD;40;28/09/2022__13:33:12;Sede1
C4764;Cliente;USA;NULL;13537;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;25;pcs;USD;25;23/09/2022__12:37:22;Sede1
C016064;Cliente;USA;NULL;13537;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;3;1;25;pcs;USD;25;21/04/2023__12:35:16;Sede1
C2576;Cliente;USA;NULL;13566;SENSOR;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;20;pcs;USD;20;25/10/2022__15:36:28;Sede1
C010453;Cliente;USA;NULL;10772;TIMESWITCH;RMELEC;Manufactura;RM-ELEC;ROW_MATERIALS;1;1;25;pcs;USD;25;1/11/2021__18:13:02;Sede1
C010945;Cliente;USA;NULL;12224;SWITCHING_MECHANISM;RMATS;Manufactura;RM-ATS;ROW_MATERIALS;1;1;650;pcs;USD;650;14/12/2021__16:03:06;Sede1
C014225;Cliente;USA;NULL;12224;SWITCHING_MECHANISM;RMATS;Manufactura;RM-ATS;ROW_MATERIALS;1;1;650;pcs;USD;650;27/09/2022__17:48:39;Sede1
C016056;Cliente;USA;NULL;11946;DSE;RMETRNC;Manufactura;RM-ETRONIC;ROW_MATERIALS;1;1;225;pcs;USD;225;8/03/2023__18:57:04;Sede1
C010453;Cliente;USA;NULL;1021;DSE;RMETRNC;Manufactura;RM-ETRONIC;ROW_MATERIALS;1;1;610;pcs;USD;610;1/06/2022__15:57:18;Sede1
C9851;Cliente;USA;NULL;14336;AIR_FILTER;SRVPARTS;Venta;SRV-PARTS;SERVICIOS;5;1;279.11;pcs;USD;279.11;11/03/2022__14:52:48;Sede1
C1453;Government;USA;NULL;14336;AIR_FILTER;SRVPARTS;Venta;SRV-PARTS;SERVICIOS;4;1;274.6;pcs;USD;274.6;29/11/2022__15:47:21;Sede1
C014269;Cliente;USA;PJ-22-3266;20859;InstaGene16KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;30/09/2022__20:44:45;Sede1
C014013;Cliente;USA;PJ-22-3115;20859;InstaGene16KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;23/09/2022__21:16:06;Sede1
C012854;Cliente;USA;PJ-22-2199;20859;InstaGene16KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;13/07/2022__17:31:47;Sede1
C012547;Cliente;USA;PJ-22-1947;20859;InstaGene16KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4.5;1;0;SRV;USD;0;20/06/2022__21:23:25;Sede1
C014614;Cliente;USA;PJ-22-3500;11731;InstaGene10KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;17/10/2022__16:13:30;Sede1
C9979;Cliente;USA;PJ-22-3369;11731;InstaGene10KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;10/10/2022__14:54:55;Sede1
C012681;Cliente;USA;PJ-22-2099;11731;InstaGene10KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;5/07/2022__21:12:22;Sede1
C011630;Cliente;USA;PJ-22-0948;11731;InstaGene10KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;24/03/2022__22:38:38;Sede1
C8800;Cliente;USA;PJ-21-1312;11731;InstaGene10KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;8;1;0;SRV;USD;0;18/09/2021__14:18:35;Sede1
C014614;Cliente;USA;PJ-22-3588;11731;InstaGene10KW;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;-1;0;SRV;USD;0;27/10/2022__14:13:10;Sede1
C010596;Cliente;USA;PJ-21-3554;14283;ELIMINAR;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;SRV;USD;0;19/11/2021__00:25:08;Sede1
C8610;Cliente;USA;PJ-22-2549-01;15609;Item_de_Post-Ventas;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;56;20;SRV;USD;1120;2/11/2022__18:44:42;Sede1
C011522;Cliente;USA;PJ-22-0739-01;15609;Item_de_Post-Ventas;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;26;15;SRV;USD;390;25/04/2022__14:43:32;Sede1
C8671;Cliente;USA;PJ-21-1061-01;15609;Item_de_Post-Ventas;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;7;15;SRV;USD;105;17/12/2021__20:35:03;Sede1
C8610;Cliente;USA;PJ-22-2549-01;15609;Item_de_Post-Ventas;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;25;40;SRV;USD;1000;2/11/2022__18:43:34;Sede1
C013694;Cliente;USA;PJ-22-2936-01;15609;Item_de_Post-Ventas;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;67;15;SRV;USD;1005;14/10/2022__22:49:46;Sede1
C012681;Cliente;USA;PJ-22-2099-01;15609;Item_de_Post-Ventas;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;15;15;SRV;USD;225;9/08/2022__20:42:19;Sede1
C012854;Cliente;USA;PJ-22-2199-01;15609;Item_de_Post-Ventas;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;34;15;SRV;USD;510;3/08/2022__22:20:52;Sede1
C012594;Cliente;USA;PJ-22-2010-01;15609;Item_de_Post-Ventas;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;10;15;SRV;USD;150;3/08/2022__18:54:04;Sede1
C012142;Cliente;USA;PJ-22-1529-01;15609;Item_de_Post-Ventas;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;33;15;SRV;USD;495;29/06/2022__21:17:50;Sede1
C012012;Cliente;USA;PJ-22-1290-01;15609;Item_de_Post-Ventas;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;36;15;SRV;USD;540;29/06/2022__15:09:13;Sede1
C011852;Cliente;USA;PJ-22-1114-01;15609;Item_de_Post-Ventas;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;30;15;SRV;USD;450;3/05/2022__18:13:53;Sede1
C9632;Cliente;USA;PJ-22-4151-01;15609;Item_de_Post-Ventas;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;46;15;SRV;USD;690;5/04/2023__17:27:41;Sede1
C015966;Cliente;USA;PJ-23-0381-01;15609;Item_de_Post-Ventas;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;40;15;SRV;USD;600;16/03/2023__20:11:09;Sede1
C014676;Cliente;USA;PJ-22-3569-01;15609;Item_de_Post-Ventas;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;20;20;SRV;USD;400;30/01/2023__17:22:25;Sede1
C013694;Cliente;USA;PJ-22-2936;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;pcs;USD;0;15/09/2022__21:46:08;Sede1
C8927;Cliente;USA;PJ-21-1512;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;1;0;pcs;USD;0;16/12/2021__19:14:26;Sede1
C8927;Cliente;USA;PJ-21-1512;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;1;-1;0;pcs;USD;0;16/12/2021__19:13:53;Sede1
C8927;Cliente;USA;PJ-21-1512;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;8;1;0;pcs;USD;0;12/11/2021__20:30:28;Sede1
C8853;Cliente;USA;PJ-21-1412;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;6;1;0;pcs;USD;0;18/09/2021__14:49:41;Sede1
C012227;Cliente;USA;PJ-22-2193;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;pcs;USD;0;9/09/2022__21:08:30;Sede1
C012227;Cliente;USA;PJ-22-2193;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;-1;0;pcs;USD;0;9/09/2022__21:05:28;Sede1
C012215;Cliente;USA;PJ-22-1522;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;pcs;USD;0;18/08/2022__18:11:22;Sede1
C012215;Cliente;USA;PJ-22-1522;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;-1;0;pcs;USD;0;18/08/2022__18:05:46;Sede1
C012227;Cliente;USA;PJ-22-2193;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;pcs;USD;0;12/07/2022__22:01:59;Sede1
C012142;Cliente;USA;PJ-22-1529;14761;Instalacióndegenerad;INSTPARTS;PosVenta;INS-SRV;SERVICIOS;4;1;0;pcs;USD;0;11/05/2022__22:19:30;Sede1
